PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Is valid X (Twitter) card,X (Twitter) card attributes,X (Twitter) card values,Depth,Is indexable page,No. of all inlinks
23,https://solvemymedia.com/compress-video,SolveMyMedia - Free Online Media Optimization Tools,text/html; charset=utf-8,false,200,0,,,,0,true,84
23,https://solvemymedia.com/create-gif,SolveMyMedia - Free Online Media Optimization Tools,text/html; charset=utf-8,false,200,0,,,,0,true,78
23,https://solvemymedia.com/convert-video,SolveMyMedia - Free Online Media Optimization Tools,text/html; charset=utf-8,false,200,0,,,,0,true,80
23,https://solvemymedia.com/transcribe,SolveMyMedia - Free Online Media Optimization Tools,text/html; charset=utf-8,false,200,0,,,,0,true,90
23,https://solvemymedia.com/compress-audio,SolveMyMedia - Free Online Media Optimization Tools,text/html; charset=utf-8,false,200,0,,,,0,true,88
23,https://solvemymedia.com/,SolveMyMedia - Free Online Media Optimization Tools,text/html; charset=utf-8,false,200,0,,,,0,true,80
23,https://solvemymedia.com/recorder,SolveMyMedia - Free Online Media Optimization Tools,text/html; charset=utf-8,false,200,0,,,,0,true,90
23,https://solvemymedia.com/video-to-audio,SolveMyMedia - Free Online Media Optimization Tools,text/html; charset=utf-8,false,200,0,,,,0,true,84
23,https://solvemymedia.com/convert-audio,SolveMyMedia - Free Online Media Optimization Tools,text/html; charset=utf-8,false,200,0,,,,0,true,84
