PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,Is indexable page,Canonical URL,Canonical URL code,Canonical URL patch,Canonical URL patch status,No. of canonical inlinks,Content hash,No. of pages having the same content,Title patch,Title patch status,Meta description,Meta description patch,Meta description patch status,H1
23,https://solvemymedia.com/compress-video,SolveMyMedia - Free Online Media Optimization Tools,text/html; charset=utf-8,false,200,0,0,true,,,,,0,2057190637015180159,9,,,,,,
23,https://solvemymedia.com/create-gif,SolveMyMedia - Free Online Media Optimization Tools,text/html; charset=utf-8,false,200,0,0,true,,,,,0,2057190637015180159,9,,,,,,
23,https://solvemymedia.com/convert-video,SolveMyMedia - Free Online Media Optimization Tools,text/html; charset=utf-8,false,200,0,0,true,,,,,0,2057190637015180159,9,,,,,,
23,https://solvemymedia.com/transcribe,SolveMyMedia - Free Online Media Optimization Tools,text/html; charset=utf-8,false,200,0,0,true,,,,,0,2057190637015180159,9,,,,,,
23,https://solvemymedia.com/compress-audio,SolveMyMedia - Free Online Media Optimization Tools,text/html; charset=utf-8,false,200,0,0,true,,,,,0,2057190637015180159,9,,,,,,
23,https://solvemymedia.com/,SolveMyMedia - Free Online Media Optimization Tools,text/html; charset=utf-8,false,200,0,0,true,,,,,0,2057190637015180159,9,,,,,,
23,https://solvemymedia.com/recorder,SolveMyMedia - Free Online Media Optimization Tools,text/html; charset=utf-8,false,200,0,0,true,,,,,0,2057190637015180159,9,,,,,,
23,https://solvemymedia.com/video-to-audio,SolveMyMedia - Free Online Media Optimization Tools,text/html; charset=utf-8,false,200,0,0,true,,,,,0,2057190637015180159,9,,,,,,
23,https://solvemymedia.com/convert-audio,SolveMyMedia - Free Online Media Optimization Tools,text/html; charset=utf-8,false,200,0,0,true,,,,,0,2057190637015180159,9,,,,,,
